setup,antenna_pair,W2,accuracy,mean_error
r2_to_r2,ant01,50,0.9689091867205339,0.031090813279466056
r2_to_r2,ant13,50,0.9664500263481468,0.03354997365185319
r2_to_r2,ant02,50,0.9648691375373265,0.035130862462673496
r2_to_r2,ant03,50,0.9642543474442298,0.035745652555770224
r2_to_r2,ant12,50,0.9581942736694186,0.04180572633058144
r2_to_r2,ant23,50,0.9567890391709116,0.043210960829088374
r1_to_r1,ant02,50,0.9536768078275493,0.04632319217245073
r2_to_r2,ant02,40,0.9513390512865395,0.048660948713460495
r1_to_r1,ant03,50,0.9479182591856495,0.05208174081435046
r2_to_r2,ant01,40,0.9478382636093121,0.052161736390687885
r2_to_r2,ant03,40,0.9467005076142132,0.053299492385786795
r2_to_r2,ant13,40,0.9452126728513915,0.054787327148608456
r1_to_r1,ant01,50,0.9447587015237222,0.05524129847627779
mixed,ant01,50,0.9442419942597311,0.0557580057402689
mixed,ant02,50,0.9437582637298849,0.056241736270115084
r1_to_r1,ant23,50,0.9429750802629567,0.05702491973704327
r1_to_r1,ant12,50,0.9428221984406054,0.05717780155939456
mixed,ant03,50,0.9378567512657615,0.06214324873423849
r1_to_r1,ant13,50,0.9374713346583091,0.06252866534169088
r2_to_r2,ant23,40,0.9363731839663925,0.06362681603360754
r2_to_r2,ant12,40,0.9361106248906004,0.06388937510939963
mixed,ant23,50,0.9341481505369409,0.06585184946305911
mixed,ant12,50,0.933632171305105,0.06636782869489499
r1_to_r1,ant02,40,0.9333265575769896,0.06667344242301043
mixed,ant13,50,0.9324067206294947,0.0675932793705053
r1_to_r1,ant03,40,0.9288545583900802,0.07114544160991976
mixed,ant02,40,0.9266975308641975,0.07330246913580252
r2_to_r2,ant01,30,0.9234257805686377,0.07657421943136233
r1_to_r1,ant12,40,0.9233153775790223,0.07668462242097773
r1_to_r1,ant01,40,0.922400650472609,0.077599349527391
