setup,antenna_pair,W2,accuracy,mean_error
mixed,ant01,10,0.7055019274268056,0.2944980725731944
r1_to_r2,ant01,10,0.5313095444309718,0.4686904555690282
r2_to_r1,ant01,10,0.4912815602479464,0.5087184397520537
r1_to_r1,ant01,10,0.7272085874111778,0.2727914125888222
r2_to_r2,ant01,10,0.7714359951498354,0.2285640048501646
mixed,ant02,10,0.6975373538500749,0.30246264614992513
r1_to_r2,ant02,10,0.47665858305906805,0.523341416940932
r2_to_r1,ant02,10,0.4821347578491156,0.5178652421508845
r1_to_r1,ant02,10,0.7455525878143426,0.25444741218565736
r2_to_r2,ant02,10,0.7382643339684739,0.2617356660315261
mixed,ant03,10,0.6972187709070057,0.3027812290929943
r1_to_r2,ant03,10,0.4541832669322709,0.545816733067729
r2_to_r1,ant03,10,0.4514186362949151,0.5485813637050849
r1_to_r1,ant03,10,0.7505417527591594,0.24945824724084065
r2_to_r2,ant03,10,0.7472717824354755,0.25272821756452446
mixed,ant12,10,0.6706170951607251,0.3293829048392749
r1_to_r2,ant12,10,0.3950718863675732,0.6049281136324268
r2_to_r1,ant12,10,0.3940180416267701,0.6059819583732299
r1_to_r1,ant12,10,0.7216650708058258,0.27833492919417424
r2_to_r2,ant12,10,0.7299497661527802,0.2700502338472198
mixed,ant13,10,0.6907833954570072,0.3092166045429928
r1_to_r2,ant13,10,0.5106097349731509,0.4893902650268491
r2_to_r1,ant13,10,0.44053318550622383,0.5594668144937762
r1_to_r1,ant13,10,0.7269566093836617,0.2730433906163383
r2_to_r2,ant13,10,0.741555517062186,0.25844448293781397
mixed,ant23,10,0.673133900410972,0.326866099589028
r1_to_r2,ant23,10,0.4674779144292396,0.5325220855707604
r2_to_r1,ant23,10,0.39502595373683413,0.6049740462631659
r1_to_r1,ant23,10,0.7105780375951217,0.2894219624048783
r2_to_r2,ant23,10,0.7052658929499394,0.29473410705006065
mixed,ant01,20,0.8083019109094395,0.19169808909056052
r1_to_r2,ant01,20,0.5412393533808447,0.4587606466191553
r2_to_r1,ant01,20,0.4744036789973721,0.5255963210026279
r1_to_r1,ant01,20,0.8192844147968465,0.18071558520315345
r2_to_r2,ant01,20,0.8700677907178863,0.1299322092821137
mixed,ant02,20,0.8182718732025308,0.1817281267974692
r1_to_r2,ant02,20,0.4801407961063793,0.5198592038936207
r2_to_r1,ant02,20,0.47468162522741053,0.5253183747725895
r1_to_r1,ant02,20,0.842581362441884,0.15741863755811603
r2_to_r2,ant02,20,0.8620719624543717,0.13792803754562832
mixed,ant03,20,0.8108583114974116,0.1891416885025884
r1_to_r2,ant03,20,0.44211715626629583,0.5578828437337042
r2_to_r1,ant03,20,0.44986860723670913,0.5501313927632909
r1_to_r1,ant03,20,0.8454618960986456,0.15453810390135436
r2_to_r2,ant03,20,0.866069876586129,0.133930123413871
mixed,ant12,20,0.7831533201252636,0.21684667987473638
r1_to_r2,ant12,20,0.39479402051103774,0.6052059794889623
r2_to_r1,ant12,20,0.39774105518496056,0.6022589448150395
r1_to_r1,ant12,20,0.8122094198504144,0.1877905801495856
r2_to_r2,ant12,20,0.8416478359116982,0.15835216408830177
mixed,ant13,20,0.7934747874992011,0.20652521250079892
r1_to_r2,ant13,20,0.5139057882843734,0.4860942117156266
r2_to_r1,ant13,20,0.4219476450373964,0.5780523549626035
r1_to_r1,ant13,20,0.8193854861532242,0.18061451384677585
r2_to_r2,ant13,20,0.857204936554841,0.14279506344515902
mixed,ant23,20,0.7890969514922989,0.21090304850770114
r1_to_r2,ant23,20,0.4664957413523379,0.5335042586476622
r2_to_r1,ant23,20,0.3747220537699616,0.6252779462300384
r1_to_r1,ant23,20,0.8124115625631696,0.1875884374368304
r2_to_r2,ant23,20,0.8274813140969929,0.17251868590300712
mixed,ant01,30,0.8840667970127247,0.11593320298727527
r1_to_r2,ant01,30,0.5198412698412699,0.4801587301587301
r2_to_r1,ant01,30,0.461663203770334,0.538336796229666
r1_to_r1,ant01,30,0.886231186337607,0.113768813662393
r2_to_r2,ant01,30,0.9234257805686377,0.07657421943136233
mixed,ant02,30,0.8899644219366005,0.11003557806339948
r1_to_r2,ant02,30,0.4773678702250131,0.522632129774987
r2_to_r1,ant02,30,0.4844169665028126,0.5155830334971874
r1_to_r1,ant02,30,0.901079410125171,0.09892058987482899
r2_to_r2,ant02,30,0.9171463457177743,0.08285365428222569
mixed,ant03,30,0.8719510240712843,0.12804897592871567
r1_to_r2,ant03,30,0.44017094017094016,0.5598290598290598
r2_to_r1,ant03,30,0.43305630162671666,0.5669436983732834
r1_to_r1,ant03,30,0.8997618203010186,0.10023817969898141
r2_to_r2,ant03,30,0.9152276295133438,0.0847723704866562
mixed,ant12,30,0.8710215070995865,0.12897849290041352
r1_to_r2,ant12,30,0.4097331240188383,0.5902668759811617
r2_to_r1,ant12,30,0.39157756043176406,0.6084224395682359
r1_to_r1,ant12,30,0.8877514822885522,0.11224851771144784
r2_to_r2,ant12,30,0.9038897610326182,0.0961102389673818
mixed,ant13,30,0.8664380268598353,0.1335619731401647
r1_to_r2,ant13,30,0.511250654107797,0.488749345892203
r2_to_r1,ant13,30,0.3955303299042214,0.6044696700957786
r1_to_r1,ant13,30,0.8781229412658997,0.12187705873410026
r2_to_r2,ant13,30,0.9192394906680621,0.0807605093319379
mixed,ant23,30,0.8684573223500753,0.13154267764992467
r1_to_r2,ant23,30,0.4584423512994942,0.5415576487005058
r2_to_r1,ant23,30,0.3490092738053008,0.6509907261946992
r1_to_r1,ant23,30,0.8852176557036436,0.11478234429635636
r2_to_r2,ant23,30,0.8994418280132566,0.10055817198674344
mixed,ant01,40,0.9165380658436214,0.08346193415637859
r1_to_r2,ant01,40,0.5286626991072991,0.4713373008927009
r2_to_r1,ant01,40,0.444049191991056,0.5559508080089439
r1_to_r1,ant01,40,0.922400650472609,0.077599349527391
r2_to_r2,ant01,40,0.9478382636093121,0.052161736390687885
mixed,ant02,40,0.9266975308641975,0.07330246913580252
r1_to_r2,ant02,40,0.46770523367757744,0.5322947663224226
r2_to_r1,ant02,40,0.5031761357861572,0.49682386421384284
r1_to_r1,ant02,40,0.9333265575769896,0.06667344242301043
r2_to_r2,ant02,40,0.9513390512865395,0.048660948713460495
mixed,ant03,40,0.9150270061728395,0.0849729938271605
r1_to_r2,ant03,40,0.4370733415018379,0.562926658498162
r2_to_r1,ant03,40,0.4167852424026832,0.5832147575973168
r1_to_r1,ant03,40,0.9288545583900802,0.07114544160991976
r2_to_r2,ant03,40,0.9467005076142132,0.053299492385786795
mixed,ant12,40,0.9060570987654321,0.09394290123456794
r1_to_r2,ant12,40,0.40854192193243477,0.5914580780675652
r2_to_r1,ant12,40,0.3947809736761866,0.6052190263238134
r1_to_r1,ant12,40,0.9233153775790223,0.07668462242097773
